"date","geography","geography code","Rural Urban","Social Grade: Approximated social grade; measures: Value","Social Grade: Approximated social grade AB; measures: Value","Social Grade: Approximated social grade C1; measures: Value","Social Grade: Approximated social grade C2; measures: Value","Social Grade: Approximated social grade DE; measures: Value"
"2011","Ashford","E07000105","Total",34831,7777,10802,8184,8068
"2011","Canterbury","E07000106","Total",42282,10437,14742,8470,8633
"2011","Dartford","E07000107","Total",31165,5941,10811,7545,6868
"2011","Dover","E07000108","Total",33481,5865,10627,7830,9159
"2011","Gravesham","E07000109","Total",29859,5114,8850,7484,8411
"2011","Maidstone","E07000110","Total",46566,11291,15532,10107,9636
"2011","Sevenoaks","E07000111","Total",32837,10655,10402,6471,5309
"2011","Shepway","E07000112","Total",32656,5947,10365,7740,8604
"2011","Swale","E07000113","Total",40691,6950,12247,10343,11151
"2011","Thanet","E07000114","Total",40530,6437,11909,9563,12621
"2011","Tonbridge and Malling","E07000115","Total",34973,9724,11411,7448,6390
"2011","Tunbridge Wells","E07000116","Total",34740,11316,10896,6447,6081
"2011","Cherwell","E07000177","Total",42843,10908,13279,9325,9331
"2011","Oxford","E07000178","Total",44186,15761,13250,5745,9430
"2011","South Oxfordshire","E07000179","Total",38611,13936,11597,7320,5758
"2011","Vale of White Horse","E07000180","Total",35540,12818,10380,6780,5562
"2011","West Oxfordshire","E07000181","Total",30993,9367,9547,6909,5170
"2011","Elmbridge","E07000207","Total",38863,17111,12350,5008,4394
"2011","Epsom and Ewell","E07000208","Total",21582,7396,7596,3680,2910
"2011","Guildford","E07000209","Total",40116,15231,12995,6473,5417
"2011","Mole Valley","E07000210","Total",24383,9064,7874,4342,3103
"2011","Reigate and Banstead","E07000211","Total",41091,13398,14371,7503,5819
"2011","Runnymede","E07000212","Total",23852,6954,8762,4551,3585
"2011","Spelthorne","E07000213","Total",28625,6974,10851,6116,4684
"2011","Surrey Heath","E07000214","Total",24595,8886,8471,4212,3026
"2011","Tandridge","E07000215","Total",23648,7667,8285,4576,3120
"2011","Waverley","E07000216","Total",33996,13829,10145,5780,4242
"2011","Woking","E07000217","Total",29931,11118,9170,4885,4758
"2011","Adur","E07000223","Total",17981,3507,6043,4441,3990
"2011","Arun","E07000224","Total",41194,8031,13191,9784,10188
"2011","Chichester","E07000225","Total",31675,9122,9974,6685,5894
"2011","Crawley","E07000226","Total",33782,5979,11438,7770,8595
"2011","Horsham","E07000227","Total",38402,12477,12941,7483,5501
"2011","Mid Sussex","E07000228","Total",41176,13068,14509,7808,5791
"2011","Worthing","E07000229","Total",32923,7268,11650,6902,7103
"2011","Bath and North East Somerset","E06000022","Total",52484,15645,17152,10085,9602
"2011","Bournemouth","E06000028","Total",61089,12772,21500,12224,14593
"2011","Bristol, City of","E06000023","Total",144567,37151,46511,25436,35469
"2011","Cornwall","E06000052","Total",155291,28469,44497,42278,40047
"2011","Isles of Scilly","E06000053","Total",658,116,207,216,119
"2011","North Somerset","E06000024","Total",60967,15143,19399,13126,13299
"2011","Plymouth","E06000026","Total",81639,12905,26958,18716,23060
"2011","Poole","E06000029","Total",43730,10180,13843,10245,9462
"2011","South Gloucestershire","E06000025","Total",78923,20402,25806,18159,14556
"2011","Swindon","E06000030","Total",69313,15201,21011,14960,18141
"2011","Torbay","E06000027","Total",39031,5791,11651,9561,12028
