"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","Tunbridge Wells","E07000116","Total",115049,109239,103115,880,322,4922,1893,414,222,787,470,2903,736,175,513,552,927,638,419,142,77,376,122,254
"2011","Cherwell","E07000177","Total",141868,130761,122491,1104,105,7061,2560,835,370,729,626,6039,1681,2382,184,657,1135,1961,1040,600,321,547,145,402
"2011","Oxford","E07000178","Total",151906,117957,96633,2431,92,18801,6035,1721,703,2008,1603,18827,4449,4825,1791,3559,4203,7028,4456,1874,698,2059,922,1137
"2011","South Oxfordshire","E07000179","Total",134257,128993,122083,1092,135,5683,1801,506,168,690,437,2405,814,194,179,443,775,768,445,241,82,290,89,201
"2011","Vale of White Horse","E07000180","Total",120988,114824,108599,956,109,5160,1574,377,180,621,396,2962,842,350,185,649,936,1230,828,246,156,398,149,249
"2011","West Oxfordshire","E07000181","Total",104779,101469,96995,708,182,3584,1263,320,136,473,334,1424,354,95,152,310,513,437,270,109,58,186,53,133
"2011","Elmbridge","E07000207","Total",130875,118123,104508,2072,153,11390,3411,521,347,1550,993,7075,2489,555,504,1143,2384,1010,620,272,118,1256,597,659
"2011","Epsom and Ewell","E07000208","Total",75102,64502,59049,1142,132,4179,1922,406,223,758,535,6484,1828,667,325,922,2742,1128,679,304,145,1066,538,528
"2011","Guildford","E07000209","Total",137183,124707,114510,1193,491,8513,2501,432,288,1077,704,6616,1661,487,320,1884,2264,1656,1162,336,158,1703,923,780
"2011","Mole Valley","E07000210","Total",85375,81168,76907,798,128,3335,1257,276,117,518,346,2177,707,152,206,358,754,399,207,131,61,374,148,226
"2011","Reigate and Banstead","E07000211","Total",137835,124879,117092,1554,179,6054,3037,736,409,1111,781,6992,2192,1189,532,914,2165,2166,1312,603,251,761,266,495
"2011","Runnymede","E07000212","Total",80510,71633,64397,1073,220,5943,1671,348,217,638,468,5561,2022,378,235,1173,1753,862,584,195,83,783,365,418
"2011","Spelthorne","E07000213","Total",95598,83455,77411,1366,192,4486,2382,575,316,905,586,7295,4013,656,259,621,1746,1545,971,419,155,921,322,599
"2011","Surrey Heath","E07000214","Total",86144,77692,73179,828,162,3523,1626,370,171,696,389,5389,1713,667,298,535,2176,861,528,253,80,576,184,392
"2011","Tandridge","E07000215","Total",82998,77880,74095,865,286,2634,1789,513,181,683,412,2164,746,139,102,418,759,882,400,373,109,283,47,236
"2011","Waverley","E07000216","Total",121572,116717,110190,1032,167,5328,1623,332,168,746,377,2283,533,246,169,623,712,538,353,147,38,411,162,249
"2011","Woking","E07000217","Total",99198,82926,74335,1089,151,7351,2335,411,299,975,650,11462,2328,5682,450,870,2132,1383,1012,270,101,1092,549,543
"2011","Adur","E07000223","Total",61182,58663,56843,426,121,1273,886,206,193,305,182,1058,234,55,269,242,258,313,241,60,12,262,170,92
"2011","Arun","E07000224","Total",149518,145118,137024,889,162,7043,1502,426,221,532,323,2116,498,107,367,412,732,538,313,160,65,244,72,172
"2011","Chichester","E07000225","Total",113794,110322,105841,743,238,3500,1092,269,158,361,304,1617,470,36,131,339,641,518,319,129,70,245,102,143
"2011","Crawley","E07000226","Total",106597,85180,76888,967,77,7248,3098,806,615,883,794,13825,5530,4548,427,496,2824,3469,2164,465,840,1025,424,601
