ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E06000036,Bracknell Forest,Unitary,113205,10938.54,,,29,,29,27559,4460,2282,4411,2993,323,6.59,28318
E06000037,West Berkshire,NA,153822,70416.82,,,,,,40582,5603,2415,5694,3797,335,12.82,20593
E06000038,Reading,Unitary,155698,4039.86,64,525,,589,589,45383,11532,5671,10049,5785,1458,25.73,10279
E06000039,Slough,NA,140205,3253.61,,,,,,39088,8413,6475,12719,5769,2332,28.19,9026
E06000040,Windsor and Maidenhead,NA,144560,19650.96,,,,,,41401,5940,2729,6778,4119,478,2.84,31925
E06000041,Wokingham,NA,154380,17897.92,,,,,,41224,5743,2460,5866,3776,479,5.95,29045
E06000042,Milton Keynes,Unitary,248821,30862.53,,10037,,,,65191,10592,8073,11949,6449,1822,17.48,16028
E06000043,Brighton and Hove,NA,273369,8266.71,,,,,,88386,24158,8271,17043,11119,1597,18.9,14837
E06000044,Portsmouth,NA,205056,4041.14,,,,,,70252,20386,6768,13900,8931,1481,16.94,16525
E06000045,Southampton,NA,236882,4988.93,,,,,,82491,25126,9026,17213,10601,2236,16.6,16827
E06000046,Isle of Wight,District,138265,38016.1,12,527,,539,539,55854,6252,3113,6570,3578,511,18.59,15105
E06000047,County Durham,NA,513242,222606.26,,,,,,196401,34071,13090,34848,20284,3001,19.38,14460
E06000048,Northumberland,NA,316028,501301.83,,,,,,114335,13644,6834,16579,9045,1433,#N/A,#N/A
E06000049,Cheshire East,Unitary,370127,116637.63,52,731,,783,783,121926,15636,6158,16480,10134,1097,6.49,28418
E06000050,Cheshire West and Chester,Unitary,329608,91665.6,36,67,,103,103,110436,15489,6253,15319,9005,997,14.64,18581
E06000051,Shropshire,NA,306129,319730.32,,,,,,100670,12748,5198,14479,8592,802,13.77,19508
E06000052,Cornwall,NA,532273,354618.74,,,,,,195783,24033,10471,23945,12766,1462,12.8,20617
E06000053,Isles of Scilly,Unitary,2203,1637.47,0,0,,0,0,513,21,18,22,7,0,#N/A,#N/A
E06000054,Wiltshire,NA,470981,325534.12,,,,,,139057,17248,8024,18121,11185,996,6.78,28096
E06000055,Bedford,NA,157479,47641.2,,,,,,49601,8684,4354,9524,5450,1051,#N/A,#N/A
E06000056,Central Bedfordshire,Unitary,254381,71566.45,62,451,,513,513,71835,10141,5378,10297,6694,847,2.49,32118
E07000004,Aylesbury Vale,NA,174137,90275.35,,,,,,47316,7225,3463,8006,4866,717,9.03,25308
E07000005,Chiltern,District,92635,19634.81,0,,,,,28490,3433,1367,3986,2511,239,3.16,31711
