Area code 2,Area name,,,,Usual residents in households ,,Households with at least one usual resident,1 person in household,2 people in household,3 people in household,4 people in household,5 or more people in household
E07000229,,,Worthing,,102752,,47044,16890,15807,6424,5565,2358
,,,,,,,,,,,,
E06000022,,Bath and North East Somerset UA,,,169977,,73515,22535,26034,10483,9959,4504
E06000028,,Bournemouth UA,,,179138,,82374,30390,27575,11034,8664,4711
E06000023,,"Bristol, City of UA",,,418814,,182747,61607,60565,26593,21192,12790
E06000052,,Cornwall UA 11,,,523432,,230389,69269,87823,33313,26863,13121
E06000053,,Isles of Scilly UA 12,,,2123,,989,336,378,122,114,39
E06000024,,North Somerset UA,,,199225,,88227,27115,33000,12468,11081,4563
E06000026,,Plymouth UA,,,251100,,109307,34317,38502,16644,12859,6985
E06000029,,Poole UA,,,145103,,63530,19134,23517,9589,7772,3518
E06000025,,South Gloucestershire UA,,,258207,,107538,28554,38898,17056,16507,6523
E06000030,,Swindon UA,,,207858,,88360,26143,30472,14261,11989,5495
E06000027,,Torbay UA,,,127908,,59010,20192,21959,7953,5879,3027
E06000054,,Wiltshire UA 13,,,457954,,194194,51845,74250,30011,26671,11417
,,,,,,,,,,,,
E10000008,,Devon ,,,727737,,322644,97945,124941,44313,37473,17972
E07000040,,,East Devon,,129528,,59071,18269,24150,7479,6318,2855
E07000041,,,Exeter,,111808,,49242,16555,16572,7042,5922,3151
E07000042,,,Mid Devon,,76866,,32758,8995,12585,4895,4212,2071
E07000043,,,North Devon,,91592,,40001,11846,15343,5620,4746,2446
E07000044,,,South Hams,,81805,,36858,11242,14754,4887,4147,1828
E07000045,,,Teignbridge,,121337,,54003,16222,21121,7600,6300,2760
E07000046,,,Torridge,,62887,,27986,8402,11156,3746,3119,1563
E07000047,,,West Devon,,51914,,22725,6414,9260,3044,2709,1298
,,,,,,,,,,,,
E10000009,,Dorset ,,,403366,,180213,53769,72193,24424,20517,9310
E07000048,,,Christchurch,,47298,,21475,6856,8396,2703,2414,1106
E07000049,,,East Dorset,,86193,,37564,9820,15987,5193,4648,1916
E07000050,,,North Dorset,,65572,,28670,8095,11492,4020,3485,1578
E07000051,,,Purbeck,,44334,,19583,5699,7825,2699,2296,1064
E07000052,,,West Dorset,,96596,,44386,14161,17794,5733,4585,2113
E07000053,,,Weymouth and Portland,,63373,,28535,9138,10699,4076,3089,1533
,,,,,,,,,,,,
E10000013,,Gloucestershire ,,,586018,,254615,75945,94118,36901,32783,14868
E07000078,,,Cheltenham,,112148,,50929,17735,17716,6822,5921,2735
E07000079,,,Cotswold,,81319,,36236,10959,14134,4917,4395,1831
E07000080,,,Forest of Dean,,80040,,34167,9226,13393,5073,4390,2085
E07000081,,,Gloucester,,119955,,50363,14695,17072,8183,6971,3442
E07000082,,,Stroud,,111503,,47794,13472,18175,6771,6504,2872
E07000083,,,Tewkesbury,,81053,,35126,9858,13628,5135,4602,1903
,,,,,,,,,,,,
