ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E07000133,Melton,NA,50376,48137.68,NA,NA,,,,,,
E07000134,North West Leicestershire,District,93468,27932.85,600113,0.155750667,5.762774677,218,0,,,
E07000148,Norwich,NA,132512,3902.6,NA,NA,,,,,,
E07000149,South Norfolk,District,124012,90770.68,526600,0.235495632,5,,17,,,
E07000154,Northampton,District,212069,8076.17,691952,0.306479351,,174,,,,
E07000155,South Northamptonshire,District,85189,63401.85,691952,0.123114031,4,,109,,,
E07000150,Corby,District,61255,8028.28,691952,0.088524927,,,191,,,
E07000151,Daventry,District,77843,66259.01,691952,0.112497688,,,,,,
E07000152,East Northamptonshire,District,86765,50978.8,691952,0.125391646,6,,24,,,
E07000153,Kettering,District,93475,23349.24,691952,0.13508885,,,30,,,
E07000156,Wellingborough,District,75356,16303.94,691952,0.108903508,8,,55,,,
E07000163,Craven,District,55409,117738.81,494660,0.112014313,15,185.9437593,58,,,
E07000164,Hambleton,District,89140,131116.95,494660,0.180204585,0,299.139611,6,,,
E07000165,Harrogate,District,157869,130793.68,494660,0.319146484,69,529.7831642,253,,,
E07000166,Richmondshire,NA,51965,131867.12,NA,NA,,,,,,
E07000167,Ryedale,NA,51751,150659.41,NA,NA,,,,,,
E07000168,Scarborough,District,108793,81654.13,494660,0.219934905,10,365.0919419,300,,,
E07000169,Selby,District,83449,59931.19,494660,0.168699713,,457.0415235,,,,
E07000170,Ashfield,District,119497,10955.69,558122,0.214105518,,,,,,
E07000171,Bassetlaw,NA,112863,63787.08,NA,NA,,,,,,
E07000172,Broxtowe,District,109487,8009.84,558122,0.196170371,0,,62,,,
E07000173,Gedling,District,113543,11997.63,558122,0.2034376,6,,64,,,
E09000030,Tower Hamlets,NA,254096,1976.9,NA,NA,,,,,,
E07000174,Mansfield,District,104466,7671.65,558122,0.18717413,,,,,,
