la_code,la_name,population,area,lad14cd
"S12000014","Falkirk","  155990","     29736.00","S12000014"
"S12000015","Fife","  365198","    132486.00","S12000015"
"S12000017","Highland","  232132","   2568389.00","S12000017"
"S12000018","Inverclyde","   81485","     16044.00","S12000018"
"S12000019","Midlothian","   83187","     35369.00","S12000019"
"S12000020","Moray","   93295","    223756.00","S12000020"
"S12000021","North Ayrshire","  138146","     88534.00","S12000021"
"S12000023","Orkney Islands","   21349","     98980.00","S12000023"
"S12000036","City of Edinburgh","  476626","     26333.00","S12000036"
"S12000038","Renfrewshire","  174908","     26194.00","S12000038"
"S12000039","West Dunbartonshire","   90720","     15876.00","S12000039"
"S12000040","West Lothian","  175118","     42749.00","S12000040"
"S12000041","Angus","  115978","    218179.00","S12000041"
"S12000045","East Dunbartonshire","  105026","     17449.00","S12000045"
"S12000046","Glasgow City","  593245","     17468.00","S12000046"
"W06000001","Isle of Anglesey","   69751","     71124.11","W06000001"
"W06000002","Gwynedd","  121874","    253493.94","W06000002"
"W06000003","Conwy","  115228","    112582.88","W06000003"
"W06000004","Denbighshire","   93734","     83674.27","W06000004"
"W06000005","Flintshire","  152506","     43753.91","W06000005"
"W06000006","Wrexham","  134844","     50377.45","W06000006"
"W06000008","Ceredigion","   75922","    178545.43","W06000008"
"W06000013","Bridgend","  139178","     25074.74","W06000013"
"W06000014","Vale of Glamorgan","  126336","     33095.28","W06000014"
"W06000015","Cardiff","  346090","     14038.20","W06000015"
"W06000016","Rhondda Cynon Taf","  234410","     42412.97","W06000016"
"W06000019","Blaenau Gwent","   69814","     10876.16","W06000019"
"W06000020","Torfaen","   91075","     12564.08","W06000020"
"W06000021","Monmouthshire","   91323","     84914.94","W06000021"
"W06000022","Newport","  145736","     19051.60","W06000022"
"W06000023","Powys","  132976","    518037.01","W06000023"
"W06000024","Merthyr Tydfil","   58802","     11139.29","W06000024"
"N92000002","Northern Ireland"," 1814297","   1415309.80","N92000002"
